Season,Depth_m,O2_uM,Add_data
Fall,10,203.533,TRUE
Fall,20,183.787,FALSE
Fall,40,130.579,FALSE
Fall,60,91.115,TRUE
Fall,75,69.828,FALSE
Fall,85,26.972,FALSE
Fall,90,11.066,TRUE
Fall,97,8.997,FALSE
Fall,100,6.605,FALSE
Fall,110,5.933,FALSE
Fall,120,2.891,TRUE
Fall,135,2.766,FALSE
Fall,150,14.465,FALSE
Fall,165,24.239,FALSE
Fall,185,28.885,FALSE
Fall,200,26.766,TRUE
Summer,10,216.667,TRUE
Summer,20,159.672,FALSE
Summer,40,141.778,FALSE
Summer,60,97.894,TRUE
Summer,75,44.978,FALSE
Summer,85,25.807,FALSE
Summer,90,27.011,TRUE
Summer,97,34.436,FALSE
Summer,100,38.012,FALSE
Summer,110,27.557,FALSE
Summer,120,32.354,TRUE
Summer,135,20.446,FALSE
Summer,150,0,FALSE
Summer,165,0,FALSE
Summer,185,0,FALSE
Summer,200,0,TRUE
