"","log2FoldChange","padj"
"NTPCR",-0.03958222411208,0.79
"AC007038.7",0.18343236374932,0.71
"TNFSF4",0.04544246582897,0.95
"CTC-366B18.4",0.53994064786087,0.16
"NRBF2P5",0.41817806248302,0.51
"CSPG4P5",-0.74051119650019,0.07
"TOX2",-0.05214278777694,0.95
"DENND4B",-0.04779844451371,0.89
"CDC42EP2",-1.23689311941906,0
"NDOR1",-0.33445249229477,0.49
"HNRNPA2B1",0.0864062606553,0.68
"RP5-1014C4.3",0.29191100775022,0.25
"TPP2",-0.12608376298613,0.43
"RP11-496I9.1",-0.04790481930956,0.94
"ROBO3",-0.19087347121594,0.58
"LA16c-313D11.12",-0.16085809546425,0.77
"ZNF615",0.07755615071327,0.83
"BCAT2",-0.22443732776217,0.59
"ANKRD62P1-PARP4P3",0.22928148409059,0.75
"RP11-294L13.1",-0.33568195687324,0.58
"ZNF644",-0.00647798299746,0.98
"LINC00313",-0.17555534980255,0.82
"CDK14",-0.11979893004261,0.62
"CTNNAL1",-0.31944981273449,0.02
"ACSL6",0.14742246140103,0.7
"ARFRP1",-0.17870608372505,0.68
"MT-TL1",0.77023934921671,0
"AC068039.4",0.88864256487069,0
"FAM228B",0.29806364692811,0.06
"SYTL1",-0.42477157295341,0.26
"CTD-2287O16.1",0.08207009168731,0.77
"RP11-612B6.2",0.16180644289339,0.8
"NDUFA5P11",0.10932733194603,0.75
"GTF3C4",-0.19324855402364,0.57
"LINC00116",-0.29824669247703,0.61
"FAM161B",0.20755363866718,0.3
"ASPRV1",0.20325112352276,0.52
"RRAS",-0.21087700610943,0.72
"FHP1",0.03601565839476,0.93
"ZYX",-0.004901715047,0.99
"C8orf58",0.07350565103598,0.8
"BUD13",-0.03682533433946,0.85
"CWC27",-0.10386822083659,0.61
"ZNF530",0.25094850909102,0.19
"FKBP4P1",-0.2938674327452,0.5
"GNAT2",0.04895721349391,0.95
"KCNS1",-0.46492672492731,0.24
"PIGS",-0.07048479517278,0.67
"RFTN1",-0.38621668648967,0.05
"SEC24D",-0.52869105983376,0
"GSTM2P1",-0.1602529050388,0.59
"AUP1",0.13678253753353,0.5
"FAM120A",-0.16845161319166,0.04
"H2AFZP1",0.19740487783684,0.77
"CD101",0.04639410153962,0.92
"RP11-219B17.1",-0.06240739360397,0.94
"RP11-96K19.4",0.27605688611288,0.66
"LURAP1L",-0.62520517901446,0
"HCG4P3",0.0273159695971,0.97
"NFIC",-0.42177773637195,0.31
"GNPTAB",0.19411834324821,0.64
"RP11-274E7.2",0.33665991799063,0.4
"RNASEL",-0.09616297237715,0.88
"C17orf67",-0.37272663029038,0.39
"CFDP1",0.11807664154412,0.6
"PLK3",-0.10139315657528,0.79
"RP11-195F19.5",-0.04959541686776,0.95
"GLI2",-0.33352345866003,0.1
"RP11-512F24.1",-0.25561503971516,0.13
"FAM120B",-0.11867863840823,0.43
"METTL21D",0.2976679300828,0.05
"COBL",0.11158777536178,0.69
"GATM",-0.11850702262403,0.56
"EPB41L2",-0.31644858408211,0.03
"ARHGAP1",-0.11153007106834,0.69
"SLC22A17",-0.14057600998404,0.78
"KPNA4",0.01312199006751,0.96
"KLHL31",-0.03272123838343,0.96
"RP11-10G12.1",0.3886682168955,0.56
"ZNF576",-0.17227239452983,0.42
"RDH13",-0.16366575598154,0.52
"LDHAP2",-0.24094741883942,0.55
"HIPK3",-0.01442645865498,0.97
"PCSK6",-0.64256074189776,0.01
"TFPT",-0.09915288711541,0.89
"YES1",-0.37715317098025,0.04
"NPTX2",0.06596868777861,0.86
"ZNF517",0.02930457336008,0.92
"CDC26",-0.08211602690771,0.88
"RCC2P7",-0.8606120503725,0.03
"RP11-203M5.7",0.10624737516282,0.82
"CDC123",-0.00873446655655,0.97
"TUSC5",-0.02711464442613,0.96
"WDR31",0.00197357621949,1
"KLHL28",-0.15616977108811,0.59
"RGS8",-0.3095202370581,0.48
"MXI1",0.08365430047498,0.59
"RP11-111A22.1",0.3671389762932,0.47
"IFT140",-0.24208616029596,0.44
"ARID5B",-0.76591514581758,0
"DNAJC2",0.06699804603474,0.77
"HSF2BP",-0.24179370449995,0.69
"CLTA",0.02501023958414,0.95
"FDX1",0.19973411261101,0.47
"FASTKD2",-0.13903992057485,0.37
"BTAF1",0.10669288111429,0.57
"ZNF599",0.16232137324742,0.37
"C9orf37",-0.23220636352668,0.41
"AP000473.5",0.1782458741347,0.71
"ARHGEF38",0.0897277890445,0.9
"SHANK3",-0.13437169200745,0.76
"TMEM221",0.25816403506898,0.68
"ZHX2",-0.33901693429405,0.11
"KLHL7-AS1",0.16688628478009,0.79
"CTC-471J1.10",0.19386321332466,0.74
"PURA",0.01771468666228,0.96
"TMEM54",-0.2345347074887,0.71
"DCAF15",-0.16306306618774,0.74
"TRIM65",-0.05789491159218,0.85
"DDX11-AS1",0.19434681594151,0.72
"ASH2L",-0.03392878562914,0.83
"MPP5",-0.40626804358506,0.03
"FBLL1",-0.25882994462949,0.67
"IGSF10",-0.30639351511075,0.49
"OSGEP",0.26802873078291,0.01
"CTB-131K11.1",-0.05046832594666,0.85
"COLQ",0.40378031806546,0.06
"ZNF286B",0.18568845215988,0.39
"LSM1",0.12788999070174,0.72
"ASB14",0.38644597697889,0.21
"KCND2",0.09115826738936,0.88
"CHMP7",-0.16552243363929,0.05
"OVGP1",0.84764027361531,0
"CDK5RAP1",0.18353378966343,0.21
"KANK2",-0.55324017900511,0.01
"PSME2P2",0.26110322747372,0.41
"DGCR8",0.12066486245212,0.52
"HEMK1",-0.10442362523779,0.67
"CBX5P1",-0.49319547033791,0.36
"ABCE1",-0.0935321073087,0.62
"ZNF654",0.16814727309506,0.27
"PRDX3",-0.10936190736521,0.51
"FH",-0.04942454655428,0.82
"BASP1",0.03617390053493,0.9
"SELT",-0.05616850158395,0.81
"NPTXR",-0.22850924751522,0.56
"RP11-318M2.2",-0.18352000524847,0.59
"SLC30A7",-0.13043023919141,0.75
"RPS4XP1",0.20820969744682,0.51
"FAM78B",-0.22229683039803,0.13
"PDXP",-0.62505272188441,0.22
"ABCC9",-0.69041439534323,0
"MTL5",-0.15629526752787,0.82
"ABHD6",0.10796915620294,0.49
"HJURP",-1.36562851541973,0
"NHLRC3",0.07084705475877,0.84
"CRYBA1",0.41641516580457,0.03
"ST5",-0.29829296727335,0.31
"GPATCH1",0.1043493539957,0.57
"GINS4",-0.70456946874802,0
"MTAP",-0.19370251600806,0.15
"CCDC51",-0.01551862117516,0.96
"C20orf144",-0.42846061071942,0.49
"WWC2",-0.59265202172944,0
"CASP2",0.04695355832231,0.83
"NAMPTL",-0.2013539166691,0.56
"LGALS9",-0.32862461482707,0.46
"GPN2",0.15398097822778,0.09
"GABRB3",-0.26460606054035,0.44
"CPA2",-0.10668273685562,0.89
"RNF126",-0.37806424167456,0.44
"P4HA2",0.00087568852863,1
"CTC-786C10.1",-0.88600434980486,0.02
"AC084018.1",0.05847522734874,0.91
"KCNQ2",-0.54585349617858,0.15
"FGFRL1",-0.35684096203023,0.22
"DHCR7",-0.32050025254451,0.2
"ZNF677",-0.19321778597144,0.55
"RABEP1",0.08700722265585,0.57
"NRXN2",-0.1542475234829,0.69
"C14orf166",0.10698259683425,0.71
"BAIAP2",-0.18514707010731,0.64
"DHX32",-0.05030358338054,0.8
"FAM172A",-0.10024671921894,0.76
"RP11-950C14.3",0.25335668853833,0.67
"CPSF6",-0.1728846246651,0.31
"ZNF134",0.13442739804085,0.57
"GNS",-0.25481885270501,0.3
"SLC7A10",0.06436811489319,0.92
"PMS2CL",-0.00445372895623,0.99
"ZFHX3",0.06923007413997,0.89
"AC005255.3",-0.11402685397535,0.6
"FMR1",-0.07172637340582,0.73
"MAPK8IP2",-0.14965544309307,0.71
"DVL3",-0.05844929225942,0.77
"TVP23C",0.22782968151181,0.64
"SETD7",-0.07569072081913,0.88
"APLP2",-0.24946207726057,0.17
"CHMP4A",0.31080813242044,0.14
"RP11-363L24.2",-0.33105213287586,0.58
"TF",-0.68971432168199,0.02
"CCDC7",0.12886972365369,0.71
"NPDC1",-0.09966246426932,0.89
"FAM134C",0.05213704054611,0.8
"RP11-631M6.2",-0.17805018458108,0.81
"RP11-108K14.4",0.3428696169781,0.24
"GNRHR2",0.02011183343696,0.97
"RP5-864K19.4",-0.12531153925578,0.85
"CSNK1E",-0.13383598849162,0.66
"RNF141",0.07236651129723,0.75
"IPP",-0.16854801643051,0.52
"GATC",-0.10990673294492,0.61
"CDKN1A",0.00523067003306,0.98
"POM121B",-0.4243773590872,0.49
"RP5-961K14.1",-0.35719530794451,0.31
"TINF2",0.07713688834096,0.53
"CYB5B",-0.02445327749483,0.88
"RP11-242D8.1",0.2082325190955,0.61
"NACC1",-0.58057359458443,0.11
"C21orf59",0.52177940749124,0
"CTD-2619J13.19",0.2988444163502,0.5
"GLOD4",0.19783327004531,0.23
"SLC13A4",0.46485250310459,0.03
"RP5-935K16.1",0.07126492464354,0.74
"FAM203A",-0.4790201084958,0.41
"AATK",-0.53647204272988,0.28
"DCP1A",0.04328251065445,0.89
"DHRS4-AS1",-0.01648419326169,0.96
"RP4-758J18.2",-0.24226560029235,0.56
"CCDC88A",-0.02829698108097,0.93
"ATP8A2",0.38020520176443,0.37
"MED14",0.0787227852342,0.57
"PRPS1",-0.08550562400665,0.59
"NKAIN4",-0.20487143885732,0.69
"FBXL19-AS1",-0.28655555590427,0.24
"ANP32AP1",-0.21155724336974,0.33
"BRCA2",-1.5206699238773,0
"RP11-214K3.24",-0.0494201449892,0.95
"NLRP2",-0.30867913962135,0.06
"RP11-118M9.3",-0.4491883785499,0.41
"LPP",-0.0218981896443,0.96
"ALDH8A1",0.88871456030111,0
"MFAP4",-0.81943409849084,0
"SOCS5P4",0.04487814867359,0.96
"RPL27AP",0.1542572550695,0.68
"RP11-996F15.2",0.21601162206442,0.68
"AC093110.3",-0.13014693128393,0.86
"C17orf97",0.20180935420631,0.58
"RPS4X",0.08629440006289,0.74
"MED6",0.12540500523093,0.55
"CXADR",0.04646683728634,0.91
"C17orf53",-0.29550423973605,0.39
"C12orf52",-0.18402789453717,0.55
"HLA-L",-0.19158550742669,0.61
"TPCN2",0.10288479123381,0.75
"RAC1",0.09546792080635,0.66
"SUGP2",-0.18932161701173,0.48
"HNRNPA1P27",0.25085345557948,0.73
"CEBPD",0.34781818252292,0.4
"FAM96A",0.04398130867684,0.92
"ZNF277",-0.14930421008822,0.4
"MTATP6P1",0.74119881794105,0.05
"ZNF766",0.2426051027436,0.04
"RP11-849H4.2",0.09089328890082,0.87
"QRSL1P1",-0.22489374893241,0.71
"ADAP1",-0.25335559792133,0.63
"PIAS4",-0.43819747265936,0.15
"C7orf25",-0.03671662982993,0.95
"NCR3LG1",-0.72976749197565,0.04
"RNPS1",-0.14300906650788,0.6
"NCBP1",-0.14710440854999,0.56
"CILP",0.66914661387593,0.01
"IPO7P2",-0.58924925766529,0.01
"GNPNAT1",-0.45924668706756,0
"PELO",-0.08834560255472,0.67
"RP11-782C8.2",0.44542087375067,0.42
"CTD-2619J13.17",-0.04134467160615,0.94
"NME4",-0.09639991520625,0.85
"AC000068.5",0.11728448716697,0.79
"CTC-308K20.1",0.57773667177691,0.26
"SGSM3",-0.14595506821852,0.79
"NPPA-AS1",0.5406421959435,0.05
"ST3GAL3",-0.05921528532479,0.89
"FBXL13",0.14391768498751,0.78
"CARD14",0.34868401923789,0.41
"DMD",-0.14215063471789,0.67
"RP11-196G11.2",0.60191674625053,0.21
"RNA5SP508",0.00331204277008,1
"TMEM25",0.13332614646866,0.56
"TPM1",0.25929531762521,0.01
"SNAPC1",-0.10515770464716,0.75
"CD58",0.05578494354883,0.9
"UBE2E1",0.10290820640046,0.7
"KCNK9",-0.30731844326445,0.16
"RIMKLBP1",-0.19567428611079,0.77
"ABHD17B",0.0107214491226,0.96
"TMEM201",-0.50992575825039,0.06
"FKBP8",-0.30304895646487,0.58
"ZNF503-AS2",0.14167180259695,0.82
"ATP5H",0.22996322260983,0.27
"USP45",0.27803826945057,0.05
"PRCD",-0.05718117688033,0.9
"RP13-15E13.1",-0.14832155442545,0.79
"FTX",0.01651957198082,0.97
"NAT10",-0.18848433671954,0.24
"CSNK1A1P3",0.38007615811409,0.27
"GPR27",0.2505669263661,0.05
"RP11-435F17.3",-0.07935917481075,0.72
"ZNF844",0.36283737826165,0.41
"VAMP2",0.28654236085945,0
"JSRP1",-0.55131887576489,0.35
"AC007229.3",0.2155917630249,0.55
